input,instruction,output
"xás vúra uum hûut chími u'îineesh, pamúprii vúra tuváxrah.xás yánava "" tá ni'úum kahyúras.""xás vúra tá pu'áhootihara, vúra tóo kfuuktih.xás kári ikúkak úkfuukar.xás u'ísh.xás pooptáchvaayship xás kúkuum vúra u'ish.xás vaa kári pupikvaayshípreera, úuth úkyiimkar.xás usíinvar.",translate from karuk to english,"What was he to do? His tongue was just dry. Then he saw, (he said), ""I've reached Klamath Lakes!"" And he wasn't walking any more, he was creeping by now. And he crept out on a log. And he drank. After he raised up, he drank again. Then he couldn't raise up any more, he fell into the river. And he drowned."
"What was he to do? His tongue was just dry. Then he saw, (he said), ""I've reached Klamath Lakes!"" And he wasn't walking any more, he was creeping by now. And he crept out on a log. And he drank. After he raised up, he drank again. Then he couldn't raise up any more, he fell into the river. And he drowned.",translate from english to karuk,"xás vúra uum hûut chími u'îineesh, pamúprii vúra tuváxrah.xás yánava "" tá ni'úum kahyúras.""xás vúra tá pu'áhootihara, vúra tóo kfuuktih.xás kári ikúkak úkfuukar.xás u'ísh.xás pooptáchvaayship xás kúkuum vúra u'ish.xás vaa kári pupikvaayshípreera, úuth úkyiimkar.xás usíinvar."
"xás uthívruuhvarak.xás tá íshyaav.xás too mah, astíip sah'áhup kunikyáavunaatih.xás tóo píip "" ahupyâamach kanpárihish.vaa uum kana'êethripaavish.""",translate from karuk to english,"So he floated down from upriver. And it was winter by now. And he saw, they were gathering driftwood on the shore. And he said, ""Let me become a pretty stick. Then they'll hook me out."""
"So he floated down from upriver. And it was winter by now. And he saw, they were gathering driftwood on the shore. And he said, ""Let me become a pretty stick. Then they'll hook me out.""",translate from english to karuk,"xás uthívruuhvarak.xás tá íshyaav.xás too mah, astíip sah'áhup kunikyáavunaatih.xás tóo píip "" ahupyâamach kanpárihish.vaa uum kana'êethripaavish."""
"púyava tá kunmah, pa'ahupyâamach tuthívruuhvarak.xás tá kunpíip "" yáxa pa'ahupyâamach tuthívruuhvarak.chími nu'êethripaa.""xás axmáy vúra pa'áhup tóo skaksîip.xás tá kunpíip "" eee! naa nipêesh ' pihnêefich.'úuth kiikpípaathkan.""púyava xás kunpípaathkar.",translate from karuk to english,"Then they saw it, the pretty stick floating down from upriver. And they said, ""Look at the pretty stick floating down! Let's take it out!"" And suddenly the stick jumped up. And they said, ""Ah, I'll bet it's Coyote! Throw it back into the river!"" So they threw it back in."
"Then they saw it, the pretty stick floating down from upriver. And they said, ""Look at the pretty stick floating down! Let's take it out!"" And suddenly the stick jumped up. And they said, ""Ah, I'll bet it's Coyote! Throw it back into the river!"" So they threw it back in.",translate from english to karuk,"púyava tá kunmah, pa'ahupyâamach tuthívruuhvarak.xás tá kunpíip "" yáxa pa'ahupyâamach tuthívruuhvarak.chími nu'êethripaa.""xás axmáy vúra pa'áhup tóo skaksîip.xás tá kunpíip "" eee! naa nipêesh ' pihnêefich.'úuth kiikpípaathkan.""púyava xás kunpípaathkar."
"xás vúra tuthívruuhvarak.xás yurástiim uthivrúhish.xás mâaka uthívruuhripaa.xás úkfuukripaa.xás yánava káan ára kun'áraarahitih.yánava káan ikmaháchraam u'íikra.xás utfúnukva.xás yánava éeruun, vúra impukáchnihich.xás úkfuukfuruk.xás káan yánava pamukunpatúmkir káru pamukun'ikrívkir athkúrit ukyâarahitih.xás vúra tóo xúriha.xás ta'ítam u'ávaheen pamukun'ikrívkir káru pamukunpatúmkir.xás uthafipshîip.xás ahúpmaam kúuk u'uum, xás u'áasish.",translate from karuk to english,"So he floated down from upriver. And he floated ashore on the seashore. He floated up on land. And he crawled ashore. And he saw people were living there. He saw a sweathouse standing there. So he looked in. And he saw it was vacant, it was a nice warm place. So he crawled in. And he saw there that their pillows and their chairs were made of fat. And he was hungry. So he ate their chairs and their pillows. He ate them all up. And he went behind the woodpile, and he lay down."
"So he floated down from upriver. And he floated ashore on the seashore. He floated up on land. And he crawled ashore. And he saw people were living there. He saw a sweathouse standing there. So he looked in. And he saw it was vacant, it was a nice warm place. So he crawled in. And he saw there that their pillows and their chairs were made of fat. And he was hungry. So he ate their chairs and their pillows. He ate them all up. And he went behind the woodpile, and he lay down.",translate from english to karuk,"xás vúra tuthívruuhvarak.xás yurástiim uthivrúhish.xás mâaka uthívruuhripaa.xás úkfuukripaa.xás yánava káan ára kun'áraarahitih.yánava káan ikmaháchraam u'íikra.xás utfúnukva.xás yánava éeruun, vúra impukáchnihich.xás úkfuukfuruk.xás káan yánava pamukunpatúmkir káru pamukun'ikrívkir athkúrit ukyâarahitih.xás vúra tóo xúriha.xás ta'ítam u'ávaheen pamukun'ikrívkir káru pamukunpatúmkir.xás uthafipshîip.xás ahúpmaam kúuk u'uum, xás u'áasish."
"xás axmáy pa'ávansas kunpávyiihfuruk.yáas kunpamváratih.yítha upíip "" yahé hôoy pananíkrivkir.""káru yítha upíip "" hôoy pananipatúmkir.""xás kuntúraayva.xás vúra puyíthaxay káan thaanêera.xás kunpíip "" naa nipêesh ' pihnêefich.'mít kunípaat ' tóo síinvar kahyúras.'""pihnêefich vúra káan úyruuhriv, púxay vúra kêenatihara.xás pa'ávansas kun'arihíshriihvunaa papákurih.xás kun'arihíshriihva vúra taay.kunpíip "" chími panamnihpákuri kiik'árihish, káruma káan chími núvyiihsipreevish.""",translate from karuk to english,"And suddenly the men came in. They had just finished eating. And one said, ""Well, where's my chair? and one said, ""Where's my pillow?"" And they looked around. And not one was lying there. And they said, ""I'll bet it's Coyote. They said he drowned at Klamath Lakes."" Coyote lay there, he didn't stir. And the men sang songs. They sang a whole lot. And they said, ""Sing an Orleans song, we're going there!"""
"And suddenly the men came in. They had just finished eating. And one said, ""Well, where's my chair? and one said, ""Where's my pillow?"" And they looked around. And not one was lying there. And they said, ""I'll bet it's Coyote. They said he drowned at Klamath Lakes."" Coyote lay there, he didn't stir. And the men sang songs. They sang a whole lot. And they said, ""Sing an Orleans song, we're going there!""",translate from english to karuk,"xás axmáy pa'ávansas kunpávyiihfuruk.yáas kunpamváratih.yítha upíip "" yahé hôoy pananíkrivkir.""káru yítha upíip "" hôoy pananipatúmkir.""xás kuntúraayva.xás vúra puyíthaxay káan thaanêera.xás kunpíip "" naa nipêesh ' pihnêefich.'mít kunípaat ' tóo síinvar kahyúras.'""pihnêefich vúra káan úyruuhriv, púxay vúra kêenatihara.xás pa'ávansas kun'arihíshriihvunaa papákurih.xás kun'arihíshriihva vúra taay.kunpíip "" chími panamnihpákuri kiik'árihish, káruma káan chími núvyiihsipreevish."""
"xás vúra tusáyriihva, xás uváxiprishuk, xás âapun ukrivrúhuthun.xás upíip "" ayukîi panámniik, nanithívthaaneen.""",translate from karuk to english,"Then (Coyote) was homesick, and he flopped out, and he rolled around on the ground. And he said, ""Hello Orleans, my country!"""
"Then (Coyote) was homesick, and he flopped out, and he rolled around on the ground. And he said, ""Hello Orleans, my country!""",translate from english to karuk,"xás vúra tusáyriihva, xás uváxiprishuk, xás âapun ukrivrúhuthun.xás upíip "" ayukîi panámniik, nanithívthaaneen."""
"xás kunpíip "" pihnêefich uum.úuth nupípaathkan.""",translate from karuk to english,"And they said, ""It's Coyote! Throw him in the river!"""
"And they said, ""It's Coyote! Throw him in the river!""",translate from english to karuk,"xás kunpíip "" pihnêefich uum.úuth nupípaathkan."""
"xás úxrar.upíip "" pûuhara, xáyfaat úuth kanapípaathkar.kiikxúrikeeshap yâamachich.pamikun'axvâa kiikxúrikeeshap yâamachich.""",translate from karuk to english,"Then he cried. He said, ""No, don't throw me in the river. I'll paint you pretty. I'll paint your heads pretty."""
"Then he cried. He said, ""No, don't throw me in the river. I'll paint you pretty. I'll paint your heads pretty.""",translate from english to karuk,"xás úxrar.upíip "" pûuhara, xáyfaat úuth kanapípaathkar.kiikxúrikeeshap yâamachich.pamikun'axvâa kiikxúrikeeshap yâamachich."""
"xás kunpíip "" chémi.""xás ukxúrikvunaa.",translate from karuk to english,"And they said, ""All right."" So he painted them."
"And they said, ""All right."" So he painted them.",translate from english to karuk,"xás kunpíip "" chémi.""xás ukxúrikvunaa."
"xás tá kunikyáasip pavéevyiihship panámniik.xás pihnêefich upíip "" chími kanipthívkee.""",translate from karuk to english,"Then they started to leave for Orleans. And Coyote said, ""Let me go along!"""
"Then they started to leave for Orleans. And Coyote said, ""Let me go along!""",translate from english to karuk,"xás tá kunikyáasip pavéevyiihship panámniik.xás pihnêefich upíip "" chími kanipthívkee."""
"kunpíip "" pûuhara.""",translate from karuk to english,"And they said, ""No!"""
"And they said, ""No!""",translate from english to karuk,"kunpíip "" pûuhara."""
"xás vúra tóo xrar."" kanapípasroovi.""",translate from karuk to english,"Then he cried. ""Take me back upriver!"""
"Then he cried. ""Take me back upriver!""",translate from english to karuk,"xás vúra tóo xrar."" kanapípasroovi."""
"xás kunpíip "" chími man.kúna vúra i'asimchákeesh ík, xáyfaat ík itxâarihva.yúkun pee'itxâarihvahaak ôok ipishkákishriheesh.""",translate from karuk to english,"Then they said, ""All right. But you must close your eyes, you mustn't open them. If you open your eyes, you will land back here again."
"Then they said, ""All right. But you must close your eyes, you mustn't open them. If you open your eyes, you will land back here again.",translate from english to karuk,"xás kunpíip "" chími man.kúna vúra i'asimchákeesh ík, xáyfaat ík itxâarihva.yúkun pee'itxâarihvahaak ôok ipishkákishriheesh."""
"xás ta'ítam kunípviitraaheen.xás pihnêefich uum úyruuhriv, u'asímchaaktih.xás vúra tu'ûuri póoyruuhriv, poo'asímchaaktih.tuyáavha pavá'iipma."" káru hôoy patanúpviitma, kíri nimah.kíri vúra yunâamich ni'itxâarihva.""xás vúra yunâamich u'itxâarihva.xás yúruk xás upipmahóonkoon.",translate from karuk to english,"So then they paddled up from downriver. Coyote lay (there), he kept his eyes closed. And he got tired lying (there), keeping his eyes closed. He was in a hurry to get back (home). ""And where have we paddled to? I want to see!"" Let me open my eyes just a little!"" So he opened his eyes just a little. And he felt (himself) back downriver."
"So then they paddled up from downriver. Coyote lay (there), he kept his eyes closed. And he got tired lying (there), keeping his eyes closed. He was in a hurry to get back (home). ""And where have we paddled to? I want to see!"" Let me open my eyes just a little!"" So he opened his eyes just a little. And he felt (himself) back downriver.",translate from english to karuk,"xás ta'ítam kunípviitraaheen.xás pihnêefich uum úyruuhriv, u'asímchaaktih.xás vúra tu'ûuri póoyruuhriv, poo'asímchaaktih.tuyáavha pavá'iipma."" káru hôoy patanúpviitma, kíri nimah.kíri vúra yunâamich ni'itxâarihva.""xás vúra yunâamich u'itxâarihva.xás yúruk xás upipmahóonkoon."
"xás kúkuum vúra kunípviitraa.xás upíip "" payêem vúra puna'itxâarihveesh.""xás vúra kúnish púfaat ipmahóonkoonara.xás axmáy vúra uthítiv, asámyiith úxak.xás pápaah kunithyúruripaa.xás kunipêer pihnêefich "" ôok uum panámniik.""xás kári vúra u'aachíchha, xás ukrivrúhuthun, úuth upiytúykaanva páyuux.púyava kúth uum pootíshraamhiti panámniik.púyava páy uum pihnêefich ukúphaanik.",translate from karuk to english,"Then they paddled upriver again. And (Coyote) said, ""Now I won't open my eyes."" And he sort of didn't feel anything. And suddenly he heard it, the gravel sounded. And they hauled the boat ashore. And they told Coyote, ""Here's Orleans."" Then he was happy, and he rolled around, and he kicked the dirt out into the river. That's why there is a flat at Orleans. This is what Coyote did."
"Then they paddled upriver again. And (Coyote) said, ""Now I won't open my eyes."" And he sort of didn't feel anything. And suddenly he heard it, the gravel sounded. And they hauled the boat ashore. And they told Coyote, ""Here's Orleans."" Then he was happy, and he rolled around, and he kicked the dirt out into the river. That's why there is a flat at Orleans. This is what Coyote did.",translate from english to karuk,"xás kúkuum vúra kunípviitraa.xás upíip "" payêem vúra puna'itxâarihveesh.""xás vúra kúnish púfaat ipmahóonkoonara.xás axmáy vúra uthítiv, asámyiith úxak.xás pápaah kunithyúruripaa.xás kunipêer pihnêefich "" ôok uum panámniik.""xás kári vúra u'aachíchha, xás ukrivrúhuthun, úuth upiytúykaanva páyuux.púyava kúth uum pootíshraamhiti panámniik.púyava páy uum pihnêefich ukúphaanik."
"pihnêefich uxus, "" tîi kahyúras kanvâarami, ishpúk kanikyáan.""kári xás uvâaram.",translate from karuk to english,"Coyote thought, ""Let me go to Klamath Lakes, let me go get money."" So he went off."
"Coyote thought, ""Let me go to Klamath Lakes, let me go get money."" So he went off.",translate from english to karuk,"pihnêefich uxus, "" tîi kahyúras kanvâarami, ishpúk kanikyáan.""kári xás uvâaram."
